"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","64.233.186.188","192.168.137.185","TLSv1.2","1466","Application Data","Jul  6, 2023 09:08:09.287779000 Hora oficial do Brasil","0.000000000"
"2","0.079039","192.168.137.185","192.168.137.1","DNS","72","Standard query 0xdd1b A econ.rec.net","Jul  6, 2023 09:08:09.366818000 Hora oficial do Brasil","0.079039000"
"3","0.080403","192.168.137.185","64.233.186.188","TCP","66","[TCP ACKed unseen segment] 38754  >  5228 [ACK] Seq=1 Ack=1670 Win=741 Len=0 TSval=1891108385 TSecr=1748626802","Jul  6, 2023 09:08:09.368182000 Hora oficial do Brasil","0.001364000"
"10","3.074117","192.168.137.185","177.37.221.8","TCP","74","43842  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1806991647 TSecr=0 WS=512","Jul  6, 2023 09:08:12.361896000 Hora oficial do Brasil","0.118144000"
"11","3.178421","177.37.221.8","192.168.137.185","TCP","74","443  >  43842 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=822351966 TSecr=1806987519 WS=128","Jul  6, 2023 09:08:12.466200000 Hora oficial do Brasil","0.104304000"
"13","3.277553","192.168.137.185","177.37.221.8","TCP","66","43842  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1806991860 TSecr=822351966","Jul  6, 2023 09:08:12.565332000 Hora oficial do Brasil","0.002180000"
"14","3.279547","192.168.137.185","177.37.221.8","TLSv1.3","657","Client Hello","Jul  6, 2023 09:08:12.567326000 Hora oficial do Brasil","0.001994000"
"16","3.852587","192.168.137.185","142.251.135.68","TCP","66","40422  >  443 [FIN, ACK] Seq=1 Ack=1 Win=156 Len=0 TSval=1564844424 TSecr=3415255714","Jul  6, 2023 09:08:13.140366000 Hora oficial do Brasil","0.496518000"
"25","5.087755","192.168.137.185","192.168.137.1","DNS","83","Standard query 0x3f79 A econ.rec.net.mshome.net","Jul  6, 2023 09:08:14.375534000 Hora oficial do Brasil","0.084979000"
"28","6.340917","52.177.138.113","192.168.137.185","TCP","66","443  >  44548 [FIN, ACK] Seq=1 Ack=1 Win=63 Len=0 TSval=1867563455 TSecr=2284705536","Jul  6, 2023 09:08:15.628696000 Hora oficial do Brasil","0.621830000"
"30","6.450453","192.168.137.185","52.177.138.113","TCP","78","44548  >  443 [ACK] Seq=1 Ack=4294967266 Win=162 Len=0 TSval=2284781473 TSecr=1867488511 SLE=1 SRE=2","Jul  6, 2023 09:08:15.738232000 Hora oficial do Brasil","0.002032000"
"33","7.230880","52.177.138.113","192.168.137.185","TCP","66","[TCP Retransmission] 443  >  44548 [FIN, ACK] Seq=1 Ack=1 Win=63 Len=0 TSval=1867564338 TSecr=2284705536","Jul  6, 2023 09:08:16.518659000 Hora oficial do Brasil","0.181243000"
"34","7.269279","192.168.137.185","52.177.138.113","TCP","86","[TCP Dup ACK 30#1] 44548  >  443 [ACK] Seq=1 Ack=4294967266 Win=162 Len=0 TSval=2284782292 TSecr=1867488511 SLE=1 SRE=2 SLE=1 SRE=2","Jul  6, 2023 09:08:16.557058000 Hora oficial do Brasil","0.038399000"
"43","9.300879","52.177.138.113","192.168.137.185","TCP","97","[TCP Retransmission] 443  >  44548 [FIN, PSH, ACK] Seq=4294967266 Ack=1 Win=63 Len=31 TSval=1867566163 TSecr=2284705536","Jul  6, 2023 09:08:18.588658000 Hora oficial do Brasil","0.099280000"
"47","9.459031","192.168.137.185","52.177.138.113","TCP","66","44548  >  443 [ACK] Seq=1 Ack=2 Win=162 Len=0 TSval=2284784479 TSecr=1867566163","Jul  6, 2023 09:08:18.746810000 Hora oficial do Brasil","0.040823000"
"52","10.083424","192.168.137.185","192.168.137.1","DNS","83","Standard query 0x3f79 A econ.rec.net.mshome.net","Jul  6, 2023 09:08:19.371203000 Hora oficial do Brasil","0.078764000"
"53","10.323923","52.177.138.113","192.168.137.185","TLSv1.2","97","Encrypted Alert","Jul  6, 2023 09:08:19.611702000 Hora oficial do Brasil","0.240499000"
"56","10.440497","192.168.137.185","52.177.138.113","TCP","66","44562  >  443 [ACK] Seq=1 Ack=32 Win=162 Len=0 TSval=2284785464 TSecr=483974879","Jul  6, 2023 09:08:19.728276000 Hora oficial do Brasil","0.000229000"
"71","11.014928","192.168.137.1","192.168.137.185","DNS","83","Standard query response 0x3f79 No such name A econ.rec.net.mshome.net","Jul  6, 2023 09:08:20.302707000 Hora oficial do Brasil","0.562161000"
"72","12.233258","192.168.137.185","192.168.137.1","DNS","70","Standard query 0xfb82 A ns.rec.net","Jul  6, 2023 09:08:21.521037000 Hora oficial do Brasil","1.218330000"
