"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","23.36.164.222","192.168.137.185","TCP","78","443  >  37648 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=1515655157 TSecr=866887639 SLE=0 SRE=1","Jul  6, 2023 08:56:33.194679000 Hora oficial do Brasil","0.000000000"
"2","0.051331","23.36.164.222","192.168.137.185","TCP","90","[TCP Retransmission] 443  >  37648 [FIN, PSH, ACK] Seq=4294967272 Ack=1 Win=501 Len=24 TSval=1515655180 TSecr=866887639","Jul  6, 2023 08:56:33.246010000 Hora oficial do Brasil","0.051331000"
"3","0.051495","192.168.137.185","177.37.221.25","TCP","74","48102  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1268793931 TSecr=0 WS=512","Jul  6, 2023 08:56:33.246174000 Hora oficial do Brasil","0.000164000"
"4","0.053240","192.168.137.185","23.36.164.222","TCP","54","37648  >  443 [RST] Seq=1 Win=0 Len=0","Jul  6, 2023 08:56:33.247919000 Hora oficial do Brasil","0.001745000"
"5","0.053240","192.168.137.185","23.36.164.222","TCP","54","37648  >  443 [RST] Seq=1 Win=0 Len=0","Jul  6, 2023 08:56:33.247919000 Hora oficial do Brasil","0.000000000"
"6","0.157447","192.168.137.185","192.168.137.1","DNS","71","Standard query 0x76e5 A api.rec.net","Jul  6, 2023 08:56:33.352126000 Hora oficial do Brasil","0.104207000"
"7","0.190316","192.168.137.185","23.36.164.222","TCP","66","37664  >  443 [FIN, ACK] Seq=1 Ack=1 Win=135 Len=0 TSval=866888311 TSecr=1515629336","Jul  6, 2023 08:56:33.384995000 Hora oficial do Brasil","0.032869000"
"8","0.297546","192.168.137.185","142.251.135.68","TCP","74","48168  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1564144776 TSecr=0 WS=512","Jul  6, 2023 08:56:33.492225000 Hora oficial do Brasil","0.107230000"
"9","0.450098","23.36.164.222","192.168.137.185","TCP","90","[TCP Retransmission] 443  >  37648 [FIN, PSH, ACK] Seq=4294967272 Ack=1 Win=501 Len=24 TSval=1515655628 TSecr=866887639","Jul  6, 2023 08:56:33.644777000 Hora oficial do Brasil","0.152552000"
"10","0.452739","192.168.137.185","23.36.164.222","TCP","54","37648  >  443 [RST] Seq=1 Win=0 Len=0","Jul  6, 2023 08:56:33.647418000 Hora oficial do Brasil","0.002641000"
