"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","192.168.137.185","216.120.180.53","UDP","66","45345  >  5058 Len=24","Jul  6, 2023 09:16:54.846809000 Hora oficial do Brasil","0.000000000"
"2","0.037363","192.168.137.185","216.120.180.53","UDP","185","45345  >  5058 Len=143","Jul  6, 2023 09:16:54.884172000 Hora oficial do Brasil","0.037363000"
"3","0.185030","192.168.137.185","177.37.221.25","TLSv1.2","1085","Application Data","Jul  6, 2023 09:16:55.031839000 Hora oficial do Brasil","0.147667000"
"4","0.188342","192.168.137.185","192.168.137.1","DNS","82","Standard query 0x6100 A datacollection.rec.net","Jul  6, 2023 09:16:55.035151000 Hora oficial do Brasil","0.003312000"
"5","0.206185","192.168.137.185","192.168.137.1","DNS","73","Standard query 0x2d96 A match.rec.net","Jul  6, 2023 09:16:55.052994000 Hora oficial do Brasil","0.017843000"
"8","0.344640","192.168.137.185","192.168.137.1","DNS","74","Standard query 0x1830 A notify.rec.net","Jul  6, 2023 09:16:55.191449000 Hora oficial do Brasil","0.020744000"
"9","0.345205","216.120.180.53","192.168.137.185","UDP","66","5058  >  45345 Len=24","Jul  6, 2023 09:16:55.192014000 Hora oficial do Brasil","0.000565000"
"10","0.368116","192.168.137.185","216.120.180.53","UDP","74","45345  >  5058 Len=32","Jul  6, 2023 09:16:55.214925000 Hora oficial do Brasil","0.022911000"
"11","0.398758","192.168.137.185","216.120.180.53","UDP","66","45345  >  5058 Len=24","Jul  6, 2023 09:16:55.245567000 Hora oficial do Brasil","0.030642000"
"12","0.467217","192.168.137.185","216.120.180.53","UDP","185","45345  >  5058 Len=143","Jul  6, 2023 09:16:55.314026000 Hora oficial do Brasil","0.068459000"
"13","0.651608","192.168.137.185","52.54.247.116","TCP","74","48186  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3142480418 TSecr=0 WS=512","Jul  6, 2023 09:16:55.498417000 Hora oficial do Brasil","0.184391000"
"14","0.815068","192.168.137.185","216.120.180.53","UDP","66","45345  >  5058 Len=24","Jul  6, 2023 09:16:55.661877000 Hora oficial do Brasil","0.163460000"
"15","0.885749","192.168.137.185","216.120.180.53","UDP","185","45345  >  5058 Len=143","Jul  6, 2023 09:16:55.732558000 Hora oficial do Brasil","0.070681000"
