"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"2","0.389484","192.168.137.185","142.250.79.35","TCP","74","44926  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=882944469 TSecr=0 WS=512","Jul  6, 2023 08:26:30.922275000 Hora oficial do Brasil","0.389484000"
"3","0.389484","192.168.137.185","142.251.134.100","TCP","74","41112  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1645630220 TSecr=0 WS=512","Jul  6, 2023 08:26:30.922275000 Hora oficial do Brasil","0.000000000"
"4","0.446542","142.250.79.35","192.168.137.185","TCP","74","80  >  44926 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=221553132 TSecr=882944469 WS=256","Jul  6, 2023 08:26:30.979333000 Hora oficial do Brasil","0.057058000"
"5","0.447897","142.251.134.100","192.168.137.185","TCP","74","443  >  41112 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=3714980110 TSecr=1645630220 WS=256","Jul  6, 2023 08:26:30.980688000 Hora oficial do Brasil","0.001355000"
"6","0.516499","192.168.137.185","142.250.79.35","TCP","66","44926  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=882944611 TSecr=221553132","Jul  6, 2023 08:26:31.049290000 Hora oficial do Brasil","0.068602000"
"7","0.516499","192.168.137.185","142.251.134.100","TCP","66","41112  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1645630358 TSecr=3714980110","Jul  6, 2023 08:26:31.049290000 Hora oficial do Brasil","0.000000000"
"8","0.517641","192.168.137.185","142.250.79.35","HTTP","293","GET /generate_204 HTTP/1.1 ","Jul  6, 2023 08:26:31.050432000 Hora oficial do Brasil","0.001142000"
"9","0.518797","192.168.137.185","142.251.134.100","TLSv1.3","633","Client Hello","Jul  6, 2023 08:26:31.051588000 Hora oficial do Brasil","0.001156000"
"10","0.574891","142.250.79.35","192.168.137.185","TCP","66","80  >  44926 [ACK] Seq=1 Ack=228 Win=66816 Len=0 TSval=221553260 TSecr=882944612","Jul  6, 2023 08:26:31.107682000 Hora oficial do Brasil","0.056094000"
"11","0.575014","142.250.79.35","192.168.137.185","HTTP","212","HTTP/1.1 204 No Content ","Jul  6, 2023 08:26:31.107805000 Hora oficial do Brasil","0.000123000"
"12","0.575105","142.250.79.35","192.168.137.185","TCP","66","80  >  44926 [FIN, ACK] Seq=147 Ack=228 Win=66816 Len=0 TSval=221553260 TSecr=882944612","Jul  6, 2023 08:26:31.107896000 Hora oficial do Brasil","0.000091000"
"13","0.576654","142.251.134.100","192.168.137.185","TCP","66","443  >  41112 [ACK] Seq=1 Ack=568 Win=66816 Len=0 TSval=3714980239 TSecr=1645630360","Jul  6, 2023 08:26:31.109445000 Hora oficial do Brasil","0.001549000"
"14","0.613688","192.168.137.185","142.250.79.35","TCP","66","44926  >  80 [ACK] Seq=228 Ack=147 Win=67072 Len=0 TSval=882944708 TSecr=221553260","Jul  6, 2023 08:26:31.146479000 Hora oficial do Brasil","0.037034000"
"15","0.613688","192.168.137.185","142.250.79.35","TCP","66","44926  >  80 [FIN, ACK] Seq=228 Ack=148 Win=67072 Len=0 TSval=882944709 TSecr=221553260","Jul  6, 2023 08:26:31.146479000 Hora oficial do Brasil","0.000000000"
"16","0.637531","142.251.134.100","192.168.137.185","TLSv1.3","284","Server Hello, Change Cipher Spec, Application Data","Jul  6, 2023 08:26:31.170322000 Hora oficial do Brasil","0.023843000"
