"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","20.88.155.43","192.168.137.185","TCP","66","443  >  43774 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=121593875 TSecr=2195697357","Jul  6, 2023 08:34:27.782787000 Hora oficial do Brasil","0.000000000"
"2","0.031748","192.168.137.185","52.54.247.116","TCP","66","45080  >  443 [FIN, ACK] Seq=1 Ack=1 Win=168 Len=0 TSval=3139932710 TSecr=2068568705","Jul  6, 2023 08:34:27.814535000 Hora oficial do Brasil","0.031748000"
"3","0.120082","177.37.221.25","192.168.137.185","TLSv1.2","580","Application Data","Jul  6, 2023 08:34:27.902869000 Hora oficial do Brasil","0.088334000"
"4","0.140405","192.168.137.185","192.168.137.1","DNS","82","Standard query 0x929f A datacollection.rec.net","Jul  6, 2023 08:34:27.923192000 Hora oficial do Brasil","0.020323000"
"5","0.142277","192.168.137.185","177.37.221.25","TCP","78","40580  >  443 [ACK] Seq=1 Ack=515 Win=179 Len=0 TSval=1267468676 TSecr=3182995857 SLE=1 SRE=515","Jul  6, 2023 08:34:27.925064000 Hora oficial do Brasil","0.001872000"
"6","0.364974","20.88.155.43","192.168.137.185","TCP","78","[TCP Dup ACK 1#1] 443  >  43774 [ACK] Seq=1 Ack=1 Win=501 Len=0 TSval=121594235 TSecr=2195697755 SLE=4294967251 SRE=1","Jul  6, 2023 08:34:28.147761000 Hora oficial do Brasil","0.222697000"
"7","0.491314","52.54.247.116","192.168.137.185","TCP","74","443  >  38300 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=2068613481 TSecr=3139932530 WS=256","Jul  6, 2023 08:34:28.274101000 Hora oficial do Brasil","0.126340000"
"8","0.491439","52.54.247.116","192.168.137.185","TCP","74","443  >  38284 [SYN, ACK] Seq=0 Ack=1 Win=26847 Len=0 MSS=1460 SACK_PERM TSval=2068613481 TSecr=3139932529 WS=256","Jul  6, 2023 08:34:28.274226000 Hora oficial do Brasil","0.000125000"
"9","0.494228","192.168.137.185","52.54.247.116","TCP","66","38300  >  443 [ACK] Seq=1 Ack=1 Win=128 Len=0 TSval=3139933178 TSecr=2068613481","Jul  6, 2023 08:34:28.277015000 Hora oficial do Brasil","0.002789000"
"10","0.494331","192.168.137.185","52.54.247.116","TLSv1.2","394","Client Hello","Jul  6, 2023 08:34:28.277118000 Hora oficial do Brasil","0.000103000"
"11","0.494406","192.168.137.185","52.54.247.116","TCP","66","38284  >  443 [ACK] Seq=1 Ack=1 Win=128 Len=0 TSval=3139933178 TSecr=2068613481","Jul  6, 2023 08:34:28.277193000 Hora oficial do Brasil","0.000075000"
"12","0.494406","192.168.137.185","52.54.247.116","TLSv1.2","394","Client Hello","Jul  6, 2023 08:34:28.277193000 Hora oficial do Brasil","0.000000000"
"13","0.530007","40.76.151.151","192.168.137.185","TCP","74","443  >  38806 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1440 SACK_PERM TSval=2335496643 TSecr=1182156707 WS=1024","Jul  6, 2023 08:34:28.312794000 Hora oficial do Brasil","0.035601000"
"14","0.532549","192.168.137.185","40.76.151.151","TCP","66","38806  >  443 [ACK] Seq=1 Ack=1 Win=128 Len=0 TSval=1182157315 TSecr=2335496643","Jul  6, 2023 08:34:28.315336000 Hora oficial do Brasil","0.002542000"
"15","0.533836","192.168.137.185","40.76.151.151","TLSv1.2","374","Client Hello","Jul  6, 2023 08:34:28.316623000 Hora oficial do Brasil","0.001287000"
"16","0.693069","192.168.137.185","52.54.247.116","TCP","66","[TCP Retransmission] 45080  >  443 [FIN, ACK] Seq=1 Ack=1 Win=168 Len=0 TSval=3139933378 TSecr=2068568705","Jul  6, 2023 08:34:28.475856000 Hora oficial do Brasil","0.159233000"
"17","0.770268","192.168.137.1","192.168.137.185","DNS","156","Standard query response 0x929f A datacollection.rec.net CNAME recnet-ag-prod-001.eastus.cloudapp.azure.com A 20.120.122.254","Jul  6, 2023 08:34:28.553055000 Hora oficial do Brasil","0.077199000"
"18","0.774822","192.168.137.185","20.120.122.254","TCP","74","44928  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1926257232 TSecr=0 WS=512","Jul  6, 2023 08:34:28.557609000 Hora oficial do Brasil","0.004554000"
"19","1.049979","52.54.247.116","192.168.137.185","TCP","66","443  >  38300 [ACK] Seq=1 Ack=329 Win=28160 Len=0 TSval=2068614134 TSecr=3139933179","Jul  6, 2023 08:34:28.832766000 Hora oficial do Brasil","0.275157000"
"20","1.050129","52.54.247.116","192.168.137.185","TLSv1.2","170","Server Hello","Jul  6, 2023 08:34:28.832916000 Hora oficial do Brasil","0.000150000"
"21","1.050259","52.54.247.116","192.168.137.185","TCP","1514","443  >  38300 [ACK] Seq=105 Ack=329 Win=28160 Len=1448 TSval=2068614134 TSecr=3139933179 [TCP segment of a reassembled PDU]","Jul  6, 2023 08:34:28.833046000 Hora oficial do Brasil","0.000130000"
"22","1.050350","52.54.247.116","192.168.137.185","TCP","1514","443  >  38300 [ACK] Seq=1553 Ack=329 Win=28160 Len=1448 TSval=2068614134 TSecr=3139933179 [TCP segment of a reassembled PDU]","Jul  6, 2023 08:34:28.833137000 Hora oficial do Brasil","0.000091000"
