"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1320","179.087100","192.168.137.185","52.151.239.148","TCP","66","45330  >  443 [ACK] Seq=307 Ack=4310 Win=74240 Len=0 TSval=493151501 TSecr=3577251009","Jul  6, 2023 09:03:35.277407000 Hora oficial do Brasil","0.000000000"
"1321","179.106036","192.168.137.185","52.114.133.223","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.296343000 Hora oficial do Brasil","0.018936000"
"1322","179.110043","192.168.137.185","52.151.239.148","TLSv1.2","192","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.300350000 Hora oficial do Brasil","0.004007000"
"1323","179.127979","142.250.79.3","192.168.137.185","TCP","66","443  >  42214 [ACK] Seq=1 Ack=159 Win=66816 Len=0 TSval=1154437576 TSecr=3111322936","Jul  6, 2023 09:03:35.318286000 Hora oficial do Brasil","0.017936000"
"1324","179.175856","20.42.72.131","192.168.137.185","TLSv1.2","508","Application Data","Jul  6, 2023 09:03:35.366163000 Hora oficial do Brasil","0.047877000"
"1325","179.178498","192.168.137.185","20.42.72.131","TCP","54","40624  >  443 [ACK] Seq=2723 Ack=6799 Win=83456 Len=0","Jul  6, 2023 09:03:35.368805000 Hora oficial do Brasil","0.002642000"
"1326","179.181928","192.168.137.185","20.42.72.131","TCP","1494","40624  >  443 [ACK] Seq=2723 Ack=6799 Win=83456 Len=1440 [TCP segment of a reassembled PDU]","Jul  6, 2023 09:03:35.372235000 Hora oficial do Brasil","0.003430000"
"1327","179.181928","192.168.137.185","20.42.72.131","TLSv1.2","657","Application Data","Jul  6, 2023 09:03:35.372235000 Hora oficial do Brasil","0.000000000"
"1328","179.182902","142.250.79.3","192.168.137.185","TLSv1.2","1466","Server Hello","Jul  6, 2023 09:03:35.373209000 Hora oficial do Brasil","0.000974000"
"1329","179.183433","142.250.79.3","192.168.137.185","TCP","1466","443  >  42214 [PSH, ACK] Seq=1401 Ack=159 Win=66816 Len=1400 TSval=1154437631 TSecr=3111322936 [TCP segment of a reassembled PDU]","Jul  6, 2023 09:03:35.373740000 Hora oficial do Brasil","0.000531000"
"1330","179.183610","142.250.79.3","192.168.137.185","TLSv1.2","1466","Certificate","Jul  6, 2023 09:03:35.373917000 Hora oficial do Brasil","0.000177000"
"1331","179.183738","142.250.79.3","192.168.137.185","TLSv1.2","124","Server Key Exchange, Server Hello Done","Jul  6, 2023 09:03:35.374045000 Hora oficial do Brasil","0.000128000"
"1332","179.185104","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=159 Ack=1401 Win=68608 Len=0 TSval=3111323051 TSecr=1154437631","Jul  6, 2023 09:03:35.375411000 Hora oficial do Brasil","0.001366000"
"1333","179.185104","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=159 Ack=2801 Win=71168 Len=0 TSval=3111323051 TSecr=1154437631","Jul  6, 2023 09:03:35.375411000 Hora oficial do Brasil","0.000000000"
"1334","179.186358","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=159 Ack=4201 Win=74240 Len=0 TSval=3111323051 TSecr=1154437631","Jul  6, 2023 09:03:35.376665000 Hora oficial do Brasil","0.001254000"
"1335","179.186358","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=159 Ack=4259 Win=74240 Len=0 TSval=3111323052 TSecr=1154437631","Jul  6, 2023 09:03:35.376665000 Hora oficial do Brasil","0.000000000"
"1336","179.214608","192.168.137.185","142.250.79.3","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.404915000 Hora oficial do Brasil","0.028250000"
"1337","179.272030","142.250.79.3","192.168.137.185","TCP","66","443  >  42214 [ACK] Seq=4259 Ack=252 Win=66816 Len=0 TSval=1154437721 TSecr=3111323080","Jul  6, 2023 09:03:35.462337000 Hora oficial do Brasil","0.057422000"
"1338","179.272184","142.250.79.3","192.168.137.185","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.462491000 Hora oficial do Brasil","0.000154000"
"1339","179.272850","52.114.133.223","192.168.137.185","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.463157000 Hora oficial do Brasil","0.000666000"
"1340","179.273838","52.151.239.148","192.168.137.185","TCP","66","443  >  45330 [ACK] Seq=4310 Ack=433 Win=65536 Len=0 TSval=3577251198 TSecr=493151523","Jul  6, 2023 09:03:35.464145000 Hora oficial do Brasil","0.000988000"
"1341","179.274843","52.151.239.148","192.168.137.185","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message","Jul  6, 2023 09:03:35.465150000 Hora oficial do Brasil","0.001005000"
"1342","179.333231","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=252 Ack=4310 Win=74240 Len=0 TSval=3111323198 TSecr=1154437721","Jul  6, 2023 09:03:35.523538000 Hora oficial do Brasil","0.058388000"
"1343","179.333231","192.168.137.185","52.151.239.148","TCP","66","45330  >  443 [ACK] Seq=433 Ack=4568 Win=77312 Len=0 TSval=493151747 TSecr=3577251198","Jul  6, 2023 09:03:35.523538000 Hora oficial do Brasil","0.000000000"
"1344","179.333231","192.168.137.185","52.114.133.223","TCP","54","39208  >  443 [ACK] Seq=676 Ack=6184 Win=80384 Len=0","Jul  6, 2023 09:03:35.523538000 Hora oficial do Brasil","0.000000000"
"1345","179.336888","192.168.137.185","52.151.239.148","TLSv1.2","294","Application Data","Jul  6, 2023 09:03:35.527195000 Hora oficial do Brasil","0.003657000"
"1346","179.340723","192.168.137.185","142.250.79.3","TLSv1.2","356","Application Data","Jul  6, 2023 09:03:35.531030000 Hora oficial do Brasil","0.003835000"
"1347","179.341912","192.168.137.185","52.114.133.223","TLSv1.2","107","Application Data","Jul  6, 2023 09:03:35.532219000 Hora oficial do Brasil","0.001189000"
"1348","179.345073","20.42.72.131","192.168.137.185","TCP","54","443  >  40624 [ACK] Seq=6799 Ack=4766 Win=525568 Len=0","Jul  6, 2023 09:03:35.535380000 Hora oficial do Brasil","0.003161000"
"1349","179.356434","192.168.137.185","52.114.133.223","TLSv1.2","1494","Application Data, Application Data","Jul  6, 2023 09:03:35.546741000 Hora oficial do Brasil","0.011361000"
"1350","179.399225","142.250.79.3","192.168.137.185","TLSv1.2","357","Application Data","Jul  6, 2023 09:03:35.589532000 Hora oficial do Brasil","0.042791000"
"1351","179.402125","192.168.137.185","142.250.79.3","TCP","66","42214  >  443 [ACK] Seq=542 Ack=4601 Win=76800 Len=0 TSval=3111323267 TSecr=1154437847","Jul  6, 2023 09:03:35.592432000 Hora oficial do Brasil","0.002900000"
"1352","179.415366","192.168.137.185","142.250.79.3","TCP","74","42220  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3111323281 TSecr=0 WS=512","Jul  6, 2023 09:03:35.605673000 Hora oficial do Brasil","0.013241000"
"1353","179.461454","20.42.72.131","192.168.137.185","TLSv1.2","507","Application Data","Jul  6, 2023 09:03:35.651761000 Hora oficial do Brasil","0.046088000"
"1354","179.464108","192.168.137.185","20.42.72.131","TCP","54","40624  >  443 [ACK] Seq=4766 Ack=7252 Win=86016 Len=0","Jul  6, 2023 09:03:35.654415000 Hora oficial do Brasil","0.002654000"
"1355","179.473563","142.250.79.3","192.168.137.185","TCP","74","443  >  42220 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2111804560 TSecr=3111323281 WS=256","Jul  6, 2023 09:03:35.663870000 Hora oficial do Brasil","0.009455000"
"1356","179.476170","192.168.137.185","142.250.79.3","TCP","66","42220  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3111323341 TSecr=2111804560","Jul  6, 2023 09:03:35.666477000 Hora oficial do Brasil","0.002607000"
"1357","179.477633","192.168.137.185","142.250.79.3","TLSv1.2","224","Client Hello","Jul  6, 2023 09:03:35.667940000 Hora oficial do Brasil","0.001463000"
"1358","179.500393","52.151.239.148","192.168.137.185","TCP","66","443  >  45330 [ACK] Seq=4568 Ack=661 Win=65536 Len=0 TSval=3577251424 TSecr=493151750","Jul  6, 2023 09:03:35.690700000 Hora oficial do Brasil","0.022760000"
