"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","192.168.137.185","192.168.137.1","DNS","89","Standard query 0x1822 A mobile-collector.newrelic.com","Jul  6, 2023 09:27:57.732388000 Hora oficial do Brasil","0.000000000"
"2","0.164293","192.168.137.185","192.168.137.1","DNS","82","Standard query 0xdb19 A android.googleapis.com","Jul  6, 2023 09:27:57.896681000 Hora oficial do Brasil","0.164293000"
"5","1.407886","192.168.137.185","192.168.137.1","DNS","78","Standard query 0xc349 A www.googleapis.com","Jul  6, 2023 09:27:59.140274000 Hora oficial do Brasil","0.224876000"
"10","2.376312","192.168.137.1","192.168.137.185","DNS","213","Standard query response 0x2920 A sdk-api-v1.singular.net CNAME sdk-gate.singular.net CNAME prod-sdk.singular.net.edgesuite.net CNAME a1988.b.akamai.net A 177.37.221.8 A 177.37.221.25","Jul  6, 2023 09:28:00.108700000 Hora oficial do Brasil","0.102809000"
"11","2.506250","192.168.137.185","177.37.221.8","TCP","74","49870  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1808179552 TSecr=0 WS=512","Jul  6, 2023 09:28:00.238638000 Hora oficial do Brasil","0.129938000"
"12","3.494630","192.168.137.1","192.168.137.185","DNS","211","Standard query response 0x1822 A mobile-collector.newrelic.com CNAME mobile-collector.cell.nr-data.net CNAME mobile-collector.newrelic.com.cdn.cloudflare.net A 162.247.241.4","Jul  6, 2023 09:28:01.227018000 Hora oficial do Brasil","0.988380000"
"13","3.548559","192.168.137.185","177.37.221.8","TCP","74","[TCP Retransmission] 49870  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1808180575 TSecr=0 WS=512","Jul  6, 2023 09:28:01.280947000 Hora oficial do Brasil","0.053929000"
"14","3.548812","192.168.137.1","192.168.137.185","DNS","274","Standard query response 0xdb19 A android.googleapis.com A 142.250.79.42 A 142.251.129.74 A 142.250.79.170 A 142.251.134.106 A 142.251.133.170 A 142.251.135.42 A 142.251.135.74 A 142.251.135.106 A 142.251.135.138 A 142.250.78.202 A 142.250.78.234 A 142.250.79.10","Jul  6, 2023 09:28:01.281200000 Hora oficial do Brasil","0.000253000"
"15","3.554623","192.168.137.185","142.250.79.42","TCP","74","43202  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2283072452 TSecr=0 WS=512","Jul  6, 2023 09:28:01.287011000 Hora oficial do Brasil","0.005811000"
"16","3.554623","192.168.137.185","162.247.241.4","TCP","74","41284  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3571273893 TSecr=0 WS=512","Jul  6, 2023 09:28:01.287011000 Hora oficial do Brasil","0.000000000"
"17","4.571923","192.168.137.185","142.250.79.42","TCP","74","[TCP Retransmission] 43202  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2283073451 TSecr=0 WS=512","Jul  6, 2023 09:28:02.304311000 Hora oficial do Brasil","1.017300000"
"18","4.571923","192.168.137.185","162.247.241.4","TCP","74","[TCP Retransmission] 41284  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3571274892 TSecr=0 WS=512","Jul  6, 2023 09:28:02.304311000 Hora oficial do Brasil","0.000000000"
"21","5.446438","192.168.137.1","192.168.137.185","DNS","254","Standard query response 0xc349 A www.googleapis.com A 142.251.135.42 A 142.251.135.74 A 142.251.135.106 A 142.251.135.138 A 142.250.78.202 A 142.250.78.234 A 142.250.79.10 A 142.250.79.42 A 142.251.129.74 A 142.250.79.170 A 142.251.133.170","Jul  6, 2023 09:28:03.178826000 Hora oficial do Brasil","0.102658000"
"22","5.559666","192.168.137.185","177.37.221.8","TCP","74","[TCP Retransmission] 49870  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=1808182591 TSecr=0 WS=512","Jul  6, 2023 09:28:03.292054000 Hora oficial do Brasil","0.113228000"
"23","5.560278","177.37.221.8","192.168.137.185","TCP","74","443  >  49870 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=823541862 TSecr=1808179552 WS=128","Jul  6, 2023 09:28:03.292666000 Hora oficial do Brasil","0.000612000"
"24","5.563029","177.37.221.8","192.168.137.185","TCP","74","[TCP Retransmission] 443  >  49870 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=823541900 TSecr=1808179552 WS=128","Jul  6, 2023 09:28:03.295417000 Hora oficial do Brasil","0.002751000"
"25","5.565285","192.168.137.185","177.37.221.8","TCP","66","49870  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=1808182611 TSecr=823541862","Jul  6, 2023 09:28:03.297673000 Hora oficial do Brasil","0.002256000"
"26","5.593967","192.168.137.185","142.251.135.42","TCP","74","39342  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=374147748 TSecr=0 WS=512","Jul  6, 2023 09:28:03.326355000 Hora oficial do Brasil","0.028682000"
"27","5.593967","192.168.137.185","177.37.221.8","TLSv1.3","657","Client Hello","Jul  6, 2023 09:28:03.326355000 Hora oficial do Brasil","0.000000000"
"30","5.613796","192.168.137.185","177.37.221.8","TCP","66","[TCP Dup ACK 25#1] 49870  >  443 [ACK] Seq=592 Ack=1 Win=65536 Len=0 TSval=1808182659 TSecr=823541862","Jul  6, 2023 09:28:03.346184000 Hora oficial do Brasil","0.000715000"
"31","6.588174","192.168.137.185","142.250.79.42","TCP","74","[TCP Retransmission] 43202  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=2283075467 TSecr=0 WS=512","Jul  6, 2023 09:28:04.320562000 Hora oficial do Brasil","0.974378000"
"32","6.588174","192.168.137.185","142.251.135.42","TCP","74","[TCP Retransmission] 39342  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=374148751 TSecr=0 WS=512","Jul  6, 2023 09:28:04.320562000 Hora oficial do Brasil","0.000000000"
"33","6.588174","192.168.137.185","162.247.241.4","TCP","74","[TCP Retransmission] 41284  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM TSval=3571276908 TSecr=0 WS=512","Jul  6, 2023 09:28:04.320562000 Hora oficial do Brasil","0.000000000"
"34","6.626889","157.240.216.34","192.168.137.185","TLSv1.2","112","Application Data","Jul  6, 2023 09:28:04.359277000 Hora oficial do Brasil","0.038715000"
"35","6.627371","177.37.221.8","192.168.137.185","TCP","74","[TCP Retransmission] 443  >  49870 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=823543872 TSecr=1808179552 WS=128","Jul  6, 2023 09:28:04.359759000 Hora oficial do Brasil","0.000482000"
"36","6.627728","162.247.241.4","192.168.137.185","TCP","74","443  >  41284 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2632102575 TSecr=3571273893 WS=8192","Jul  6, 2023 09:28:04.360116000 Hora oficial do Brasil","0.000357000"
"37","6.628321","142.250.79.42","192.168.137.185","TCP","74","443  >  43202 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=5330458 TSecr=2283072452 WS=256","Jul  6, 2023 09:28:04.360709000 Hora oficial do Brasil","0.000593000"
"38","6.629847","192.168.137.185","157.240.216.34","TCP","66","46070  >  443 [ACK] Seq=1 Ack=47 Win=133 Len=0 TSval=1853520537 TSecr=2386415271","Jul  6, 2023 09:28:04.362235000 Hora oficial do Brasil","0.001526000"
