App,Package,Start Time,Duration,Filename
"Rec Room",com.AgainstGravity.RecRoom,"jul. 6, 2023 @ 08:26:29 AM","3 min 14 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,806400,1,0,1,806400,1,0,2,806400,2,0,2,806400,2,0,2,2054400,2,0,2,0,2,2054400,2,0,2,95,2,0,3,2054400,3,0,3,2515200,3,0,3,315000,3,21,
101,1804800,101,0,101,1804800,101,0,101,1804800,101,0,101,1804800,102,0,102,2400000,102,0,102,501286,102,2400000,102,0,92,95,91,0,102,2400000,102,0,102,1766400,102,0,102,315000,103,0,
202,1804800,202,0,202,1804800,203,0,203,1804800,203,0,204,1804800,204,0,205,2400000,205,0,205,0,206,2400000,206,0,102,95,102,0,207,2400000,211,0,212,2515200,214,0,215,608000,217,0,
304,1804800,305,0,305,1804800,305,0,305,1804800,306,0,306,1804800,306,0,306,2400000,307,0,307,0,307,2400000,307,0,206,95,206,0,307,2400000,308,0,308,2515200,308,0,308,608000,309,0,
407,1804800,408,0,408,1804800,408,0,409,1804800,410,0,410,1804800,411,0,411,2400000,412,0,412,0,412,2400000,412,0,307,95,307,0,412,2400000,413,0,413,2515200,413,0,413,608000,414,18,
509,1804800,510,0,518,1804800,519,0,520,1804800,521,0,521,1804800,522,0,523,2400000,524,0,524,1314431,524,2400000,525,0,412,95,412,0,525,2400000,525,0,525,2515200,526,0,526,608000,526,18,
610,1804800,610,0,610,1804800,611,0,612,1804800,612,0,613,1804800,613,0,613,2400000,614,0,614,1314431,614,2400000,614,0,525,95,525,0,614,2400000,615,0,615,2515200,616,0,616,608000,617,18,
761,1804800,762,0,762,1804800,763,0,763,1804800,763,0,764,1804800,764,0,764,2400000,764,0,764,1314431,765,2400000,765,0,614,95,614,0,765,2400000,765,0,766,2515200,766,0,766,608000,767,18,
861,1804800,863,0,863,1804800,865,0,866,1804800,867,0,868,1804800,870,0,871,2400000,872,0,873,1314431,873,2400000,874,0,765,95,765,0,874,2400000,876,0,876,2515200,880,0,880,550000,881,18,
962,1804800,962,0,964,1804800,964,0,965,1804800,966,0,966,1804800,967,0,967,2400000,968,0,968,1102176,972,2400000,973,0,874,95,874,0,973,2400000,973,0,973,2515200,974,0,974,450000,974,18,
1062,1804800,1062,0,1062,1804800,1063,0,1063,1804800,1063,0,1063,1804800,1063,0,1063,1651200,1064,0,1064,779244,1064,1651200,1064,0,973,95,973,0,1064,1651200,1064,0,1065,2515200,1065,0,1065,608000,1065,18,
1162,1804800,1162,0,1163,1804800,1163,0,1163,1804800,1163,0,1163,1804800,1164,0,1164,1651200,1164,0,1164,1314431,1164,1651200,1164,0,1064,95,1064,0,1165,1651200,1165,0,1165,2515200,1165,0,1165,608000,1165,18,
1262,1804800,1263,0,1263,1804800,1263,0,1264,1804800,1264,0,1264,1804800,1264,0,1264,1651200,1265,0,1265,1314431,1265,1651200,1265,0,1164,95,1165,0,1265,1651200,1266,0,1266,2515200,1266,0,1266,608000,1266,18,
1363,1804800,1363,0,1363,1804800,1364,0,1364,1804800,1364,0,1364,1804800,1364,0,1364,1651200,1365,0,1365,1314431,1365,1651200,1365,0,1265,95,1265,0,1365,1651200,1365,0,1366,2515200,1366,0,1366,608000,1366,18,
1463,1804800,1463,0,1464,1804800,1464,0,1464,1804800,1464,0,1464,1804800,1465,0,1465,1651200,1465,0,1465,1314431,1465,1651200,1465,0,1365,95,1365,0,1466,1651200,1466,0,1466,2515200,1466,0,1466,608000,1467,18,
1563,1804800,1564,0,1564,1804800,1564,0,1564,1804800,1565,0,1565,1804800,1565,0,1565,1651200,1565,0,1565,1314431,1565,1651200,1566,0,1465,95,1465,0,1566,1651200,1566,0,1566,2515200,1567,0,1567,608000,1567,6,
1664,1804800,1664,0,1665,1804800,1665,0,1665,1804800,1665,0,1666,1804800,1666,0,1666,1651200,1666,0,1666,438143,1666,1651200,1667,0,1566,95,1566,0,1667,1651200,1667,0,1668,2515200,1668,0,1668,608000,1668,6,
1764,1804800,1764,0,1765,1804800,1765,0,1765,1804800,1765,0,1765,1804800,1766,0,1766,1651200,1766,0,1766,438143,1766,1651200,1766,0,1667,95,1667,0,1767,1651200,1767,0,1767,2515200,1768,0,1768,608000,1768,6,
1864,1804800,1865,0,1865,1804800,1865,0,1866,1804800,1866,0,1866,1804800,1866,0,1866,1651200,1867,0,1867,438143,1867,1651200,1867,0,1767,95,1767,0,1867,1651200,1868,0,1868,2515200,1868,0,1868,608000,1868,6,
1965,1804800,1965,0,1965,1804800,1966,0,1966,1804800,1966,0,1966,1804800,1966,0,1967,1651200,1967,0,1967,438143,1967,1651200,1967,0,1867,95,1867,0,1968,1651200,1968,0,1968,2515200,1968,0,1969,315000,1969,6,
2065,1804800,2065,0,2066,1804800,2066,0,2066,1804800,2066,0,2066,1804800,2067,0,2067,1651200,2067,0,2067,143224,2067,1651200,2068,0,1967,95,1967,0,2068,1651200,2068,0,2068,2208000,2069,0,2069,315000,2069,0,
2165,1804800,2166,0,2166,1804800,2166,0,2166,1804800,2167,0,2167,1804800,2167,0,2167,1651200,2168,0,2168,0,2168,1651200,2168,0,2068,95,2068,0,2168,1651200,2169,0,2169,2515200,2169,0,2169,315000,2170,0,
2265,1804800,2266,0,2266,1804800,2267,0,2267,1804800,2267,0,2267,1804800,2267,0,2268,1651200,2268,0,2268,0,2268,1651200,2268,0,2168,95,2168,0,2269,1651200,2269,0,2269,2515200,2269,0,2269,315000,2270,0,
2366,1804800,2366,0,2367,1804800,2367,0,2367,1804800,2367,0,2367,1804800,2368,0,2368,1651200,2368,0,2368,0,2368,1651200,2369,0,2268,95,2268,0,2369,1651200,2369,0,2369,2515200,2369,0,2370,315000,2370,0,
2466,1804800,2467,0,2467,1804800,2467,0,2467,1804800,2468,0,2468,1804800,2468,0,2468,1651200,2469,0,2469,0,2469,1651200,2469,0,2369,95,2369,0,2469,1651200,2470,0,2470,2515200,2470,0,2470,315000,2471,0,
2566,1804800,2567,0,2567,1804800,2568,0,2568,1804800,2568,0,2568,1804800,2568,0,2569,1651200,2569,0,2569,0,2569,1651200,2569,0,2469,95,2469,0,2570,1651200,2570,0,2570,2515200,2570,0,2570,315000,2571,0,
2617,1804800,2617,0,2617,1804800,2618,0,2618,1804800,2618,0,2618,1804800,2618,0,2619,1651200,2619,0,2619,0,2619,1651200,2620,0,2569,95,2569,0,2620,1651200,2620,0,2620,2515200,2620,0,2621,315000,2621,0,
2717,1804800,2717,0,2717,1804800,2718,0,2718,1804800,2718,0,2718,1804800,2718,0,2718,1651200,2719,0,2719,0,2719,1651200,2719,0,2620,95,2620,0,2719,1651200,2720,0,2720,2515200,2720,0,2720,315000,2720,0,
2817,1804800,2817,0,2818,1804800,2818,0,2818,1804800,2818,0,2818,1804800,2819,0,2819,1651200,2819,0,2819,0,2819,1651200,2819,0,2719,95,2719,0,2820,1651200,2820,0,2820,2515200,2820,0,2820,315000,2821,0,
2918,1804800,2918,0,2918,1804800,2919,0,2919,1804800,2919,0,2919,1804800,2920,0,2920,2400000,2921,0,2921,0,2921,2400000,2922,0,2819,95,2820,0,2922,2400000,2922,0,2923,2515200,2923,0,2924,608000,2925,0,
3018,1804800,3018,0,3018,1804800,3019,0,3019,1804800,3019,0,3019,1804800,3019,0,3019,2400000,3019,0,3019,0,3020,2400000,3020,0,2922,95,2922,0,3020,2400000,3020,0,3020,2515200,3020,0,3021,608000,3021,0,
