"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"662","153.225045","192.168.10.105","20.62.59.58","TCP","54","56959  >  443 [ACK] Seq=507 Ack=421 Win=514 Len=0","Jul  5, 2023 20:43:38.366176000 Hora oficial do Brasil","0.179000000"
"663","153.426852","192.168.10.105","44.205.73.18","TCP","54","57119  >  443 [ACK] Seq=2943 Ack=5881 Win=131072 Len=0","Jul  5, 2023 20:43:38.567983000 Hora oficial do Brasil","0.201807000"
"664","156.900648","192.168.10.105","187.86.80.10","DNS","73","Standard query 0x8ce9 A match.rec.net","Jul  5, 2023 20:43:42.041779000 Hora oficial do Brasil","3.473796000"
"665","156.944691","192.168.10.105","187.86.94.42","DNS","73","Standard query 0x8ce9 A match.rec.net","Jul  5, 2023 20:43:42.085822000 Hora oficial do Brasil","0.044043000"
"666","157.177754","187.86.80.10","192.168.10.105","DNS","147","Standard query response 0x8ce9 A match.rec.net CNAME recnet-ag-prod-003.eastus.cloudapp.azure.com A 40.76.151.151","Jul  5, 2023 20:43:42.318885000 Hora oficial do Brasil","0.233063000"
"667","157.177754","187.86.94.42","192.168.10.105","DNS","147","Standard query response 0x8ce9 A match.rec.net CNAME recnet-ag-prod-003.eastus.cloudapp.azure.com A 40.76.151.151","Jul  5, 2023 20:43:42.318885000 Hora oficial do Brasil","0.000000000"
"668","157.389400","192.168.10.105","40.76.151.151","TCP","66","57120  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","Jul  5, 2023 20:43:42.530531000 Hora oficial do Brasil","0.211646000"
"669","157.700990","40.76.151.151","192.168.10.105","TCP","66","443  >  57120 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=1024","Jul  5, 2023 20:43:42.842121000 Hora oficial do Brasil","0.311590000"
"670","157.909628","192.168.10.105","40.76.151.151","TCP","54","57120  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0","Jul  5, 2023 20:43:43.050759000 Hora oficial do Brasil","0.208638000"
"671","157.912231","192.168.10.105","40.76.151.151","TLSv1.2","204","Client Hello","Jul  5, 2023 20:43:43.053362000 Hora oficial do Brasil","0.002603000"
"672","158.128875","192.168.10.105","52.226.139.185","TLSv1.2","155","Application Data","Jul  5, 2023 20:43:43.270006000 Hora oficial do Brasil","0.216644000"
"673","158.152257","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=1 Ack=151 Win=64512 Len=0","Jul  5, 2023 20:43:43.293388000 Hora oficial do Brasil","0.023382000"
"674","158.152257","40.76.151.151","192.168.10.105","TLSv1.2","1454","Server Hello","Jul  5, 2023 20:43:43.293388000 Hora oficial do Brasil","0.000000000"
"675","158.152257","40.76.151.151","192.168.10.105","TCP","1454","443  >  57120 [PSH, ACK] Seq=1401 Ack=151 Win=64512 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:43:43.293388000 Hora oficial do Brasil","0.000000000"
"676","158.152257","40.76.151.151","192.168.10.105","TLSv1.2","1454","Certificate","Jul  5, 2023 20:43:43.293388000 Hora oficial do Brasil","0.000000000"
"677","158.152257","40.76.151.151","192.168.10.105","TLSv1.2","191","Server Key Exchange, Server Hello Done","Jul  5, 2023 20:43:43.293388000 Hora oficial do Brasil","0.000000000"
"678","158.382081","192.168.10.105","40.76.151.151","TCP","54","57120  >  443 [ACK] Seq=151 Ack=4338 Win=131584 Len=0","Jul  5, 2023 20:43:43.523212000 Hora oficial do Brasil","0.229824000"
"679","158.387150","52.226.139.185","192.168.10.105","TLSv1.2","225","Application Data","Jul  5, 2023 20:43:43.528281000 Hora oficial do Brasil","0.005069000"
"680","158.387253","192.168.10.105","40.76.151.151","TLSv1.2","129","Client Key Exchange","Jul  5, 2023 20:43:43.528384000 Hora oficial do Brasil","0.000103000"
"681","158.446284","192.168.10.105","52.226.139.185","TCP","155","[TCP Spurious Retransmission] 56739  >  443 [PSH, ACK] Seq=1 Ack=1 Win=509 Len=101","Jul  5, 2023 20:43:43.587415000 Hora oficial do Brasil","0.059031000"
"682","158.677102","192.168.10.105","52.226.139.185","TCP","54","56739  >  443 [ACK] Seq=102 Ack=172 Win=514 Len=0","Jul  5, 2023 20:43:43.818233000 Hora oficial do Brasil","0.230818000"
"683","158.689171","40.76.151.151","192.168.10.105","TCP","54","443  >  57120 [ACK] Seq=4338 Ack=226 Win=64512 Len=0","Jul  5, 2023 20:43:43.830302000 Hora oficial do Brasil","0.012069000"
"684","158.689171","52.226.139.185","192.168.10.105","TCP","66","[TCP Dup ACK 679#1] 443  >  56739 [ACK] Seq=172 Ack=102 Win=7209 Len=0 SLE=1 SRE=102","Jul  5, 2023 20:43:43.830302000 Hora oficial do Brasil","0.000000000"
