"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","192.168.10.105","91.199.81.161","UDP","152","57759  >  5056 Len=110","Jul  5, 2023 20:50:55.952284000 Hora oficial do Brasil","0.000000000"
"2","0.001064","192.168.10.105","91.199.81.161","UDP","145","57759  >  5056 Len=103","Jul  5, 2023 20:50:55.953348000 Hora oficial do Brasil","0.001064000"
"3","0.149274","192.168.10.105","91.199.81.161","UDP","150","57759  >  5056 Len=108","Jul  5, 2023 20:50:56.101558000 Hora oficial do Brasil","0.148210000"
"4","0.151923","192.168.10.105","91.199.81.161","UDP","145","57759  >  5056 Len=103","Jul  5, 2023 20:50:56.104207000 Hora oficial do Brasil","0.002649000"
"5","0.233289","192.168.10.105","91.199.81.161","UDP","147","57759  >  5056 Len=105","Jul  5, 2023 20:50:56.185573000 Hora oficial do Brasil","0.081366000"
"6","0.233796","192.168.10.105","91.199.81.161","UDP","149","57759  >  5056 Len=107","Jul  5, 2023 20:50:56.186080000 Hora oficial do Brasil","0.000507000"
"7","0.267843","91.199.81.10","192.168.10.105","UDP","129","5056  >  57756 Len=87","Jul  5, 2023 20:50:56.220127000 Hora oficial do Brasil","0.034047000"
"8","0.356312","192.168.10.105","91.199.81.161","UDP","88","57759  >  5056 Len=46","Jul  5, 2023 20:50:56.308596000 Hora oficial do Brasil","0.088469000"
"9","0.858993","91.199.81.10","192.168.10.105","UDP","129","5056  >  57756 Len=87","Jul  5, 2023 20:50:56.811277000 Hora oficial do Brasil","0.502681000"
"10","0.858993","204.79.197.222","192.168.10.105","TCP","54","443  >  57169 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0","Jul  5, 2023 20:50:56.811277000 Hora oficial do Brasil","0.000000000"
"11","0.858993","91.199.81.161","192.168.10.105","UDP","66","5056  >  57759 Len=24","Jul  5, 2023 20:50:56.811277000 Hora oficial do Brasil","0.000000000"
"12","1.080163","192.168.10.105","91.199.81.10","UDP","114","57756  >  5056 Len=72","Jul  5, 2023 20:50:57.032447000 Hora oficial do Brasil","0.221170000"
"13","1.193468","192.168.10.105","91.199.81.161","UDP","163","57759  >  5056 Len=121","Jul  5, 2023 20:50:57.145752000 Hora oficial do Brasil","0.113305000"
