"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","91.199.81.21","192.168.10.105","UDP","382","5056  >  56875 Len=340","Jul  5, 2023 21:04:06.684225000 Hora oficial do Brasil","0.000000000"
"2","0.002730","192.168.10.105","20.88.155.43","TCP","54","57402  >  443 [ACK] Seq=1 Ack=1 Win=514 Len=0","Jul  5, 2023 21:04:06.686955000 Hora oficial do Brasil","0.002730000"
"3","0.004648","192.168.10.105","20.120.122.254","TLSv1.2","618","Ignored Unknown Record","Jul  5, 2023 21:04:06.688873000 Hora oficial do Brasil","0.001918000"
"4","0.005221","192.168.10.105","20.88.155.43","TLSv1.2","499","Application Data","Jul  5, 2023 21:04:06.689446000 Hora oficial do Brasil","0.000573000"
"5","0.008362","91.199.81.21","192.168.10.105","UDP","584","5056  >  56875 Len=542","Jul  5, 2023 21:04:06.692587000 Hora oficial do Brasil","0.003141000"
"6","0.023041","91.199.81.21","192.168.10.105","UDP","593","5056  >  56875 Len=551","Jul  5, 2023 21:04:06.707266000 Hora oficial do Brasil","0.014679000"
"7","0.031738","192.168.10.105","91.199.81.21","UDP","448","56875  >  5056 Len=406","Jul  5, 2023 21:04:06.715963000 Hora oficial do Brasil","0.008697000"
"8","0.039229","35.247.18.208","192.168.10.105","UDP","122","7090  >  56876 Len=80","Jul  5, 2023 21:04:06.723454000 Hora oficial do Brasil","0.007491000"
"9","0.055468","91.199.81.21","192.168.10.105","UDP","1173","5056  >  56875 Len=1131","Jul  5, 2023 21:04:06.739693000 Hora oficial do Brasil","0.016239000"
"10","0.085301","35.247.18.208","192.168.10.105","UDP","170","7090  >  56876 Len=128","Jul  5, 2023 21:04:06.769526000 Hora oficial do Brasil","0.029833000"
"11","0.093572","91.199.81.21","192.168.10.105","UDP","825","5056  >  56875 Len=783","Jul  5, 2023 21:04:06.777797000 Hora oficial do Brasil","0.008271000"
"12","0.122778","91.199.81.21","192.168.10.105","UDP","1085","5056  >  56875 Len=1043","Jul  5, 2023 21:04:06.807003000 Hora oficial do Brasil","0.029206000"
"13","0.122778","35.247.18.208","192.168.10.105","UDP","122","7090  >  56876 Len=80","Jul  5, 2023 21:04:06.807003000 Hora oficial do Brasil","0.000000000"
"14","0.135879","91.199.81.21","192.168.10.105","UDP","1190","5056  >  56875 Len=1148","Jul  5, 2023 21:04:06.820104000 Hora oficial do Brasil","0.013101000"
"15","0.135879","91.199.81.21","192.168.10.105","UDP","1222","5056  >  56875 Len=1180","Jul  5, 2023 21:04:06.820104000 Hora oficial do Brasil","0.000000000"
"16","0.135879","91.199.81.21","192.168.10.105","UDP","1235","5056  >  56875 Len=1193","Jul  5, 2023 21:04:06.820104000 Hora oficial do Brasil","0.000000000"
"17","0.135879","91.199.81.21","192.168.10.105","UDP","1185","5056  >  56875 Len=1143","Jul  5, 2023 21:04:06.820104000 Hora oficial do Brasil","0.000000000"
"18","0.135879","91.199.81.21","192.168.10.105","UDP","712","5056  >  56875 Len=670","Jul  5, 2023 21:04:06.820104000 Hora oficial do Brasil","0.000000000"
"19","0.155121","20.120.122.254","192.168.10.105","TCP","54","443  >  57522 [ACK] Seq=1 Ack=1 Win=63 Len=0","Jul  5, 2023 21:04:06.839346000 Hora oficial do Brasil","0.019242000"
"20","0.155121","35.247.18.208","192.168.10.105","UDP","202","7090  >  56876 Len=160","Jul  5, 2023 21:04:06.839346000 Hora oficial do Brasil","0.000000000"
"21","0.182072","35.247.18.208","192.168.10.105","UDP","234","7090  >  56876 Len=192","Jul  5, 2023 21:04:06.866297000 Hora oficial do Brasil","0.026951000"
"22","0.182072","91.199.81.21","192.168.10.105","UDP","1100","5056  >  56875 Len=1058","Jul  5, 2023 21:04:06.866297000 Hora oficial do Brasil","0.000000000"
"23","0.200671","91.199.81.21","192.168.10.105","UDP","902","5056  >  56875 Len=860","Jul  5, 2023 21:04:06.884896000 Hora oficial do Brasil","0.018599000"
"24","0.215578","91.199.81.21","192.168.10.105","UDP","359","5056  >  56875 Len=317","Jul  5, 2023 21:04:06.899803000 Hora oficial do Brasil","0.014907000"
"25","0.230510","91.199.81.21","192.168.10.105","UDP","317","5056  >  56875 Len=275","Jul  5, 2023 21:04:06.914735000 Hora oficial do Brasil","0.014932000"
"26","0.232088","192.168.10.105","20.120.122.254","TLSv1.2","1454","Ignored Unknown Record","Jul  5, 2023 21:04:06.916313000 Hora oficial do Brasil","0.001578000"
"27","0.245898","35.247.18.208","192.168.10.105","UDP","282","7090  >  56876 Len=240","Jul  5, 2023 21:04:06.930123000 Hora oficial do Brasil","0.013810000"
"28","0.245898","20.88.155.43","192.168.10.105","TCP","66","443  >  57402 [ACK] Seq=1 Ack=4294966842 Win=501 Len=0 SLE=1 SRE=446","Jul  5, 2023 21:04:06.930123000 Hora oficial do Brasil","0.000000000"
"29","0.248138","91.199.81.21","192.168.10.105","UDP","626","5056  >  56875 Len=584","Jul  5, 2023 21:04:06.932363000 Hora oficial do Brasil","0.002240000"
"30","0.264446","20.120.122.254","192.168.10.105","TCP","66","443  >  57523 [ACK] Seq=1 Ack=4294965897 Win=63 Len=0 SLE=1 SRE=565","Jul  5, 2023 21:04:06.948671000 Hora oficial do Brasil","0.016308000"
"31","0.264446","91.199.81.21","192.168.10.105","UDP","1212","5056  >  56875 Len=1170","Jul  5, 2023 21:04:06.948671000 Hora oficial do Brasil","0.000000000"
"32","0.278163","35.247.18.208","192.168.10.105","UDP","170","7090  >  56876 Len=128","Jul  5, 2023 21:04:06.962388000 Hora oficial do Brasil","0.013717000"
"33","0.309878","91.199.81.21","192.168.10.105","UDP","841","5056  >  56875 Len=799","Jul  5, 2023 21:04:06.994103000 Hora oficial do Brasil","0.031715000"
"34","0.329403","91.199.81.21","192.168.10.105","UDP","331","5056  >  56875 Len=289","Jul  5, 2023 21:04:07.013628000 Hora oficial do Brasil","0.019525000"
"35","0.329403","35.247.18.208","192.168.10.105","UDP","122","7090  >  56876 Len=80","Jul  5, 2023 21:04:07.013628000 Hora oficial do Brasil","0.000000000"
"36","0.329403","91.199.81.21","192.168.10.105","UDP","1238","5056  >  56875 Len=1196","Jul  5, 2023 21:04:07.013628000 Hora oficial do Brasil","0.000000000"
"37","0.347040","192.168.10.105","20.88.155.43","TCP","954","[TCP Retransmission] 57402  >  443 [PSH, ACK] Seq=4294966842 Ack=1 Win=514 Len=900","Jul  5, 2023 21:04:07.031265000 Hora oficial do Brasil","0.017637000"
"38","0.349566","91.199.81.21","192.168.10.105","UDP","166","5056  >  56875 Len=124","Jul  5, 2023 21:04:07.033791000 Hora oficial do Brasil","0.002526000"
"39","0.349566","35.247.18.208","192.168.10.105","UDP","234","7090  >  56876 Len=192","Jul  5, 2023 21:04:07.033791000 Hora oficial do Brasil","0.000000000"
"40","0.362140","91.199.81.21","192.168.10.105","UDP","780","5056  >  56875 Len=738","Jul  5, 2023 21:04:07.046365000 Hora oficial do Brasil","0.012574000"
"41","0.374227","192.168.10.105","91.199.81.21","UDP","1006","56875  >  5056 Len=964","Jul  5, 2023 21:04:07.058452000 Hora oficial do Brasil","0.012087000"
