"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.488323000 Hora oficial do Brasil","0.000000000"
"2","0.071990","192.168.10.105","91.199.81.21","UDP","327","51065  >  5056 Len=285","Jul  5, 2023 21:15:21.560313000 Hora oficial do Brasil","0.071990000"
"3","0.075003","91.199.81.21","192.168.10.105","UDP","400","5056  >  51065 Len=358","Jul  5, 2023 21:15:21.563326000 Hora oficial do Brasil","0.003013000"
"4","0.075003","34.138.251.81","192.168.10.105","UDP","74","7062  >  51066 Len=32","Jul  5, 2023 21:15:21.563326000 Hora oficial do Brasil","0.000000000"
"5","0.075268","192.168.10.105","34.138.251.81","UDP","74","51066  >  7062 Len=32","Jul  5, 2023 21:15:21.563591000 Hora oficial do Brasil","0.000265000"
"6","0.095519","91.199.81.21","192.168.10.105","UDP","130","5056  >  51065 Len=88","Jul  5, 2023 21:15:21.583842000 Hora oficial do Brasil","0.020251000"
"7","0.141244","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.629567000 Hora oficial do Brasil","0.045725000"
"8","0.152313","192.168.10.105","91.199.81.21","UDP","367","51065  >  5056 Len=325","Jul  5, 2023 21:15:21.640636000 Hora oficial do Brasil","0.011069000"
"9","0.215275","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.703598000 Hora oficial do Brasil","0.062962000"
"10","0.293417","192.168.10.105","91.199.81.21","UDP","327","51065  >  5056 Len=285","Jul  5, 2023 21:15:21.781740000 Hora oficial do Brasil","0.078142000"
"11","0.338699","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.827022000 Hora oficial do Brasil","0.045282000"
"12","0.358348","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.846671000 Hora oficial do Brasil","0.019649000"
"13","0.406397","192.168.10.105","23.21.161.185","TCP","66","57834  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM","Jul  5, 2023 21:15:21.894720000 Hora oficial do Brasil","0.048049000"
"14","0.436880","192.168.10.105","91.199.81.21","UDP","361","51065  >  5056 Len=319","Jul  5, 2023 21:15:21.925203000 Hora oficial do Brasil","0.030483000"
"15","0.478338","91.199.81.21","192.168.10.105","UDP","350","5056  >  51065 Len=308","Jul  5, 2023 21:15:21.966661000 Hora oficial do Brasil","0.041458000"
"16","0.479303","192.168.10.105","91.199.81.21","UDP","125","51065  >  5056 Len=83","Jul  5, 2023 21:15:21.967626000 Hora oficial do Brasil","0.000965000"
"17","0.490972","192.168.10.105","34.138.251.81","UDP","458","51066  >  7062 Len=416","Jul  5, 2023 21:15:21.979295000 Hora oficial do Brasil","0.011669000"
"18","0.492803","91.199.81.21","192.168.10.105","UDP","354","5056  >  51065 Len=312","Jul  5, 2023 21:15:21.981126000 Hora oficial do Brasil","0.001831000"
