"No.","Time","Source","Destination","Protocol","Length","Info","frame.time","frame.time_delta"
"1","0.000000","192.168.10.105","20.120.122.254","TCP","1454","57117  >  443 [ACK] Seq=1 Ack=1 Win=510 Len=1400 [TCP segment of a reassembled PDU]","Jul  5, 2023 20:45:56.967951000 Hora oficial do Brasil","0.000000000"
"2","0.006003","192.168.10.105","20.120.122.254","TLSv1.2","685","Application Data","Jul  5, 2023 20:45:56.973954000 Hora oficial do Brasil","0.006003000"
"3","0.312749","20.120.122.254","192.168.10.105","TCP","54","443  >  57117 [ACK] Seq=1 Ack=2032 Win=63 Len=0","Jul  5, 2023 20:45:57.280700000 Hora oficial do Brasil","0.306746000"
"4","1.325814","192.168.10.105","20.120.122.254","TLSv1.2","1454","[TCP Previous segment not captured] , Ignored Unknown Record","Jul  5, 2023 20:45:58.293765000 Hora oficial do Brasil","1.013065000"
"5","1.643811","20.120.122.254","192.168.10.105","TCP","66","[TCP Dup ACK 3#1] 443  >  57117 [ACK] Seq=1 Ack=2032 Win=63 Len=0 SLE=3725 SRE=5125","Jul  5, 2023 20:45:58.611762000 Hora oficial do Brasil","0.317997000"
"6","1.956978","20.62.59.58","192.168.10.105","TLSv1.2","96","Application Data","Jul  5, 2023 20:45:58.924929000 Hora oficial do Brasil","0.313167000"
"7","2.040043","192.168.10.105","20.120.122.254","TCP","1454","[TCP Retransmission] 57117  >  443 [ACK] Seq=2032 Ack=1 Win=510 Len=1400","Jul  5, 2023 20:45:59.007994000 Hora oficial do Brasil","0.083065000"
"8","2.246839","192.168.10.105","20.62.59.58","TCP","54","56959  >  443 [ACK] Seq=1 Ack=43 Win=512 Len=0","Jul  5, 2023 20:45:59.214790000 Hora oficial do Brasil","0.206796000"
"9","2.277658","20.120.122.254","192.168.10.105","TCP","66","443  >  57117 [ACK] Seq=1 Ack=3432 Win=62 Len=0 SLE=3725 SRE=5125","Jul  5, 2023 20:45:59.245609000 Hora oficial do Brasil","0.030819000"
"10","2.499234","192.168.10.105","20.120.122.254","TCP","1454","[TCP Retransmission] 57117  >  443 [ACK] Seq=3432 Ack=1 Win=510 Len=1400","Jul  5, 2023 20:45:59.467185000 Hora oficial do Brasil","0.221576000"
"12","2.770272","20.120.122.254","192.168.10.105","TCP","66","443  >  57117 [ACK] Seq=1 Ack=5125 Win=62 Len=0 SLE=3725 SRE=4832","Jul  5, 2023 20:45:59.738223000 Hora oficial do Brasil","0.092190000"
