App,Package,Start Time,Duration,Filename
"Rec Room",com.AgainstGravity.RecRoom,"jul. 6, 2023 @ 09:08:01 AM","3 min 4 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1804800,1,0,1,1804800,1,0,1,1804800,1,0,1,1804800,1,0,2,2400000,2,0,2,47741,2,2400000,2,0,2,83,2,0,2,2400000,2,0,2,1766400,3,0,3,315000,5,20,
50,1804800,50,0,51,1804800,51,0,51,1804800,51,0,51,1804800,51,0,51,2400000,51,0,52,477415,52,2400000,52,0,52,83,52,0,52,2400000,52,0,52,2208000,52,0,52,315000,53,20,
152,1804800,153,0,153,1804800,153,0,153,1804800,154,0,154,1804800,154,0,154,2400000,154,0,155,477415,155,2400000,155,0,77,83,77,0,155,2400000,155,0,155,2515200,156,0,156,608000,156,20,
254,1804800,262,0,263,1804800,269,0,271,1804800,277,0,280,1804800,282,0,283,2400000,289,0,289,1460479,290,2400000,290,0,155,83,155,0,291,2400000,291,0,291,2035200,291,0,292,608000,292,20,
354,1804800,354,0,355,1804800,355,0,355,1804800,355,0,355,1804800,357,0,358,2400000,361,0,361,1460479,361,2400000,363,0,290,83,290,0,363,2400000,364,0,370,2515200,371,0,372,608000,372,20,
455,1804800,455,0,455,1804800,456,0,456,1804800,456,0,456,1804800,462,0,463,2400000,465,0,465,1460479,466,2400000,466,0,363,83,363,0,466,2400000,467,0,467,2515200,467,0,467,608000,468,20,
555,1804800,555,0,556,1804800,556,0,557,1804800,557,0,558,1804800,558,0,559,2400000,559,0,559,1460479,560,2400000,560,0,466,83,466,0,560,2400000,560,0,561,2515200,561,0,561,608000,562,20,
706,1804800,707,0,707,1804800,709,0,710,1804800,711,0,713,1804800,714,0,715,2400000,717,0,717,1460479,718,2400000,720,0,560,83,560,0,721,2400000,722,0,723,2515200,724,0,724,315000,725,20,
806,1804800,806,0,807,1804800,807,0,807,1804800,807,0,807,1804800,807,0,808,2400000,808,0,808,477415,808,2400000,808,0,720,83,720,0,809,2400000,809,0,809,2035200,809,0,809,315000,810,20,
906,1804800,907,0,908,1804800,910,0,911,1804800,912,0,913,1804800,913,0,913,2400000,913,0,913,477415,913,2400000,914,0,808,83,808,0,914,2400000,914,0,914,2515200,914,0,914,315000,915,7,
957,1804800,957,0,958,1804800,958,0,958,1804800,958,0,958,1804800,959,0,959,2400000,959,0,959,167095,959,2400000,959,0,914,83,914,0,959,2400000,960,0,960,2515200,960,0,960,315000,960,7,
1057,1804800,1058,0,1058,1804800,1058,0,1059,1804800,1059,0,1059,1804800,1059,0,1059,2400000,1060,0,1060,167095,1060,2400000,1060,0,959,83,959,0,1060,2400000,1061,0,1061,2380800,1062,0,1062,315000,1062,7,
1157,1804800,1158,0,1158,1804800,1158,0,1158,1804800,1159,0,1159,1804800,1159,0,1159,2400000,1159,0,1159,167095,1159,2400000,1161,0,1060,83,1060,0,1161,2400000,1162,0,1162,2515200,1162,0,1162,315000,1164,7,
1258,1804800,1258,0,1259,1804800,1259,0,1259,1804800,1259,0,1259,1804800,1260,0,1260,2400000,1260,0,1260,167095,1260,2400000,1260,0,1161,83,1161,0,1261,2400000,1261,0,1261,1766400,1262,0,1262,315000,1262,7,
1359,1804800,1359,0,1359,1804800,1360,0,1360,1804800,1360,0,1360,1804800,1361,0,1362,2400000,1364,0,1364,167095,1365,2400000,1366,0,1260,83,1261,0,1367,2400000,1368,0,1369,2515200,1370,0,1371,315000,1372,7,
1459,1804800,1460,0,1460,1804800,1460,0,1460,1804800,1461,0,1461,1804800,1461,0,1461,2400000,1461,0,1461,167095,1461,2400000,1462,0,1366,83,1366,0,1462,2400000,1462,0,1462,2515200,1462,0,1462,315000,1462,7,
1559,1804800,1560,0,1561,1804800,1561,0,1562,1804800,1562,0,1562,1804800,1562,0,1562,2400000,1562,0,1562,167095,1563,2400000,1563,0,1462,83,1462,0,1563,2131200,1564,0,1565,2515200,1565,0,1566,608000,1566,7,
1660,1804800,1660,0,1660,1804800,1660,0,1661,1804800,1661,0,1661,1804800,1661,0,1661,2400000,1661,0,1661,511167,1661,2400000,1661,0,1563,83,1563,0,1661,2400000,1662,0,1662,2515200,1662,0,1662,608000,1662,7,
1760,1804800,1761,0,1762,1804800,1762,0,1762,1804800,1764,0,1765,1804800,1766,0,1766,2400000,1766,0,1766,511167,1766,2400000,1767,0,1661,83,1661,0,1767,2400000,1767,0,1767,2515200,1767,0,1767,608000,1768,7,
1860,1804800,1861,0,1861,1804800,1861,0,1861,1804800,1861,0,1862,1804800,1862,0,1862,2400000,1862,0,1862,511167,1862,2400000,1862,0,1767,83,1767,0,1862,2400000,1862,0,1863,2515200,1863,0,1863,608000,1863,7,
1961,1804800,1961,0,1962,1804800,1962,0,1965,1804800,1968,0,1969,1804800,1970,0,1970,2400000,1971,0,1971,511167,1971,2400000,1972,0,1862,83,1862,0,1972,2400000,1972,0,1973,2515200,1974,0,1974,608000,1974,7,
2062,1804800,2063,0,2064,1804800,2065,0,2066,1804800,2066,0,2068,1804800,2069,0,2069,2400000,2069,0,2069,511167,2069,2400000,2070,0,1972,83,1972,0,2071,2400000,2071,0,2071,2515200,2072,0,2072,550000,2073,7,
2162,1804800,2162,0,2162,1804800,2162,0,2162,1804800,2163,0,2163,1804800,2163,0,2163,2400000,2163,0,2163,428624,2163,2400000,2163,0,2070,83,2070,0,2163,2400000,2164,0,2164,2035200,2164,0,2164,550000,2164,7,
2262,1804800,2263,0,2263,1804800,2264,0,2265,1804800,2266,0,2266,1804800,2268,0,2268,2400000,2269,0,2269,428624,2269,2400000,2269,0,2163,83,2163,0,2269,2400000,2270,0,2270,2515200,2270,0,2270,608000,2270,7,
2363,1804800,2365,0,2366,1804800,2367,0,2368,1804800,2369,0,2373,1804800,2375,0,2375,2400000,2376,0,2377,511167,2377,2400000,2378,0,2269,83,2269,0,2379,2400000,2380,0,2381,2515200,2383,0,2384,550000,2386,7,
2464,1804800,2464,0,2464,1804800,2465,0,2465,1804800,2465,0,2465,1804800,2465,0,2466,2400000,2468,0,2468,428624,2468,2400000,2468,0,2378,83,2379,0,2469,2400000,2469,0,2469,2515200,2470,0,2471,608000,2472,7,
2564,1804800,2565,0,2565,1804800,2565,0,2565,1804800,2565,0,2565,1804800,2566,0,2566,2400000,2566,0,2566,511167,2566,2400000,2566,0,2468,83,2468,0,2566,2400000,2568,0,2568,1766400,2570,0,2571,608000,2571,7,
2665,1804800,2665,0,2666,1804800,2667,0,2667,1804800,2668,0,2668,1804800,2668,0,2668,2400000,2669,0,2669,511167,2669,2400000,2670,0,2566,83,2566,0,2670,2400000,2670,0,2671,2515200,2671,0,2672,608000,2672,7,
2766,1804800,2766,0,2766,1804800,2767,0,2767,1804800,2767,0,2767,1804800,2768,0,2770,2400000,2772,0,2773,511167,2774,2400000,2775,0,2670,83,2670,0,2777,2400000,2778,0,2779,2035200,2780,0,2781,550000,2781,7,
2866,1804800,2866,0,2866,1804800,2867,0,2867,1804800,2867,0,2867,1804800,2867,0,2867,2400000,2868,0,2868,428624,2868,2400000,2868,0,2776,83,2776,0,2868,2400000,2869,0,2869,1766400,2869,0,2870,608000,2871,7,
2966,1804800,2966,0,2966,1804800,2967,0,2967,1804800,2967,0,2967,1804800,2967,0,2967,2400000,2967,0,2967,511167,2967,2400000,2968,0,2868,83,2868,0,2968,2400000,2968,0,2968,2380800,2968,0,2969,608000,2969,7,
3066,1804800,3067,0,3067,1804800,3068,0,3068,1804800,3069,0,3069,1804800,3070,0,3070,940800,3070,0,3070,511167,3071,940800,3071,0,2968,83,2968,0,3072,940800,3072,0,3073,806400,3074,0,3074,608000,3074,7,
3167,1804800,3167,0,3167,1804800,3167,0,3168,1804800,3168,0,3168,1804800,3168,0,3168,2400000,3168,0,3168,511167,3169,2400000,3169,0,3071,83,3071,0,3169,2400000,3169,0,3169,806400,3169,0,3169,608000,3170,7,
3267,1804800,3268,0,3268,1804800,3269,0,3269,1804800,3270,0,3270,1804800,3270,0,3270,2054400,3271,0,3271,511167,3271,2054400,3271,0,3169,83,3169,0,3271,2054400,3272,0,3272,2380800,3272,0,3272,608000,3273,8,
3368,1804800,3368,0,3369,1804800,3369,0,3369,1804800,3370,0,3370,1804800,3370,0,3370,1516800,3371,0,3371,584191,3371,1516800,3371,0,3271,83,3271,0,3371,1516800,3372,0,3372,1516800,3372,0,3373,550000,3373,8,
3468,1804800,3469,0,3469,1804800,3470,0,3470,1804800,3471,0,3471,1804800,3471,0,3471,1516800,3471,0,3471,489856,3472,1516800,3472,0,3371,83,3371,0,3472,2400000,3472,0,3472,1516800,3473,0,3473,550000,3473,8,
3568,1804800,3569,0,3569,1804800,3569,0,3569,1804800,3570,0,3570,1804800,3570,0,3570,1516800,3570,0,3570,489856,3570,1516800,3571,0,3472,83,3472,0,3571,1516800,3571,0,3571,2515200,3571,0,3571,608000,3572,8,
3669,1804800,3670,0,3670,1804800,3670,0,3671,1804800,3672,0,3672,1804800,3673,0,3673,1228800,3673,0,3673,584191,3673,1228800,3674,0,3571,83,3571,0,3674,1228800,3674,0,3674,1324800,3675,0,3675,608000,3675,8,
3769,1804800,3769,0,3770,1804800,3770,0,3770,1804800,3770,0,3770,1804800,3771,0,3771,1228800,3771,0,3771,584191,3771,1228800,3771,0,3674,83,3674,0,3772,1228800,3772,0,3772,806400,3772,0,3772,608000,3773,8,
3869,1804800,3869,0,3870,1804800,3870,0,3870,1804800,3870,0,3870,1804800,3870,0,3870,2400000,3870,0,3870,584191,3870,2400000,3871,0,3771,83,3771,0,3871,2400000,3871,0,3871,2515200,3871,0,3871,608000,3871,8,
3970,1804800,3970,0,3970,1804800,3971,0,3971,1804800,3971,0,3971,1804800,3972,0,3972,940800,3972,0,3972,584191,3973,691200,3973,0,3871,83,3871,0,3974,691200,3974,0,3975,806400,3975,0,3976,608000,3976,8,
4070,1804800,4070,0,4071,1804800,4071,0,4071,1804800,4071,0,4071,1804800,4071,0,4071,1900800,4072,0,4072,584191,4072,1900800,4072,0,3974,83,3974,0,4072,1900800,4072,0,4072,1766400,4072,0,4073,550000,4073,8,
4171,1804800,4173,0,4173,1804800,4173,0,4174,1804800,4174,0,4174,1804800,4174,0,4174,1900800,4174,0,4174,489856,4175,1900800,4175,0,4072,83,4072,0,4175,1900800,4175,0,4175,1056000,4175,0,4175,550000,4176,8,
4271,1804800,4271,0,4272,1804800,4272,0,4272,1804800,4273,0,4273,1804800,4273,0,4274,1651200,4274,0,4274,489856,4274,1651200,4274,0,4175,83,4175,0,4275,1651200,4275,0,4275,1516800,4275,0,4275,550000,4276,8,
4372,1804800,4372,0,4373,1804800,4373,0,4374,1804800,4374,0,4374,1804800,4374,0,4374,2400000,4374,0,4374,489856,4375,2400000,4375,0,4274,83,4274,0,4375,2400000,4375,0,4375,2515200,4375,0,4375,608000,4376,8,
4473,1804800,4474,0,4475,1804800,4475,0,4475,1804800,4475,0,4476,1804800,4476,0,4476,2400000,4476,0,4476,584191,4477,2400000,4485,0,4375,83,4375,0,4485,2400000,4487,0,4487,2515200,4487,0,4487,608000,4489,8,
4574,1804800,4574,0,4574,1804800,4575,0,4575,1804800,4575,0,4575,1804800,4575,0,4575,2400000,4576,0,4576,584191,4576,2400000,4576,0,4485,83,4485,0,4576,2400000,4576,0,4577,2208000,4577,0,4577,550000,4577,8,
4674,1804800,4675,0,4675,1804800,4675,0,4676,1804800,4676,0,4676,1804800,4676,0,4676,2400000,4677,0,4677,489856,4677,2400000,4677,0,4576,83,4576,0,4677,2400000,4678,0,4678,2515200,4678,0,4678,450000,4678,8,
4775,1804800,4776,0,4776,1804800,4776,0,4777,1804800,4777,0,4777,1804800,4778,0,4778,1516800,4778,0,4778,346330,4779,1516800,4779,0,4677,83,4677,0,4779,1516800,4780,0,4780,806400,4781,0,4782,450000,4782,8,
4875,1804800,4877,0,4877,1804800,4878,0,4878,1804800,4879,0,4879,1804800,4879,0,4879,2400000,4880,0,4880,346330,4880,2400000,4880,0,4779,83,4779,0,4880,2400000,4881,0,4881,1324800,4881,0,4881,315000,4882,8,
4976,1804800,4977,0,4977,1804800,4978,0,4978,1804800,4978,0,4978,1804800,4979,0,4979,1344000,4979,0,4979,190966,4979,1344000,4980,0,4880,83,4880,0,4980,1344000,4980,0,4980,2515200,4980,0,4981,315000,4981,8,
5076,1804800,5076,0,5077,1804800,5077,0,5077,1804800,5077,0,5077,1804800,5077,0,5078,2054400,5078,0,5078,190966,5078,2054400,5078,0,4980,83,4980,0,5078,2054400,5078,0,5078,806400,5079,0,5079,315000,5079,8,
5176,806400,5176,0,5177,806400,5177,0,5177,806400,5178,0,5178,806400,5178,0,5178,2400000,5178,0,5178,190966,5178,2400000,5178,0,5078,83,5078,0,5178,2400000,5179,0,5179,2515200,5179,0,5179,315000,5179,8,
5277,806400,5278,0,5278,806400,5278,0,5278,806400,5279,0,5279,806400,5279,0,5279,1228800,5280,0,5280,190966,5280,1228800,5280,0,5178,83,5178,0,5281,1228800,5282,0,5282,806400,5282,0,5282,315000,5283,11,
