App,Package,Start Time,Duration,Filename
"Rec Room",com.AgainstGravity.RecRoom,"jul. 6, 2023 @ 09:12:06 AM","3 min 5 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU8 Load [%]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,806400,1,0,1,806400,2,0,2,806400,2,0,2,806400,3,0,3,940800,3,0,3,146047,4,940800,4,0,4,82,4,0,4,1228800,5,0,5,1324800,5,0,5,315000,6,10,
101,1804800,101,0,101,1804800,102,0,102,1804800,102,0,102,1804800,103,0,103,2400000,103,0,103,238707,103,2400000,103,0,80,82,80,0,104,2400000,104,0,104,2515200,104,0,104,608000,105,0,
204,1804800,205,0,205,1804800,205,0,205,1804800,206,0,206,1804800,206,0,206,2400000,206,0,206,0,207,2400000,209,0,103,82,103,0,209,2400000,211,0,211,2515200,211,0,214,608000,215,0,
306,1804800,306,0,306,1804800,307,0,307,1804800,307,0,307,1804800,308,0,308,2400000,310,0,310,0,310,2400000,310,0,209,82,209,0,311,2400000,311,0,311,2515200,312,0,318,608000,318,0,
406,1804800,406,0,406,1804800,407,0,407,1804800,407,0,407,1804800,407,0,407,2400000,407,0,407,0,408,2400000,408,0,310,82,311,0,408,2400000,412,0,413,2515200,416,0,418,608000,419,0,
508,1804800,509,0,509,1804800,509,0,509,1804800,510,0,510,1804800,510,0,510,2400000,510,0,510,0,510,2400000,511,0,408,82,408,0,511,2400000,511,0,511,2515200,511,0,511,608000,512,0,
610,1804800,611,0,611,1804800,611,0,611,1804800,612,0,612,1804800,612,0,612,2400000,613,0,613,0,621,2400000,622,0,511,82,511,0,622,2400000,623,0,623,2515200,624,0,624,608000,625,13,
711,1804800,713,0,713,1804800,713,0,713,1804800,717,0,717,1804800,717,0,718,2400000,718,0,718,949311,719,2400000,719,0,622,82,622,0,719,2400000,719,0,720,2515200,720,0,720,550000,720,13,
812,1804800,813,0,813,1804800,814,0,814,1804800,814,0,814,1804800,814,0,814,2400000,815,0,815,796016,815,2400000,815,0,719,82,719,0,815,2400000,815,0,816,2515200,817,0,819,550000,820,13,
913,1804800,913,0,914,1804800,914,0,914,1804800,915,0,915,1804800,915,0,915,2400000,915,0,916,796016,917,2400000,918,0,815,82,815,0,919,2400000,921,0,921,2515200,922,0,923,608000,925,13,
1013,1804800,1013,0,1014,1804800,1014,0,1015,1804800,1015,0,1015,1804800,1016,0,1017,2400000,1017,0,1017,949311,1018,2400000,1018,0,918,82,918,0,1018,2400000,1018,0,1018,2515200,1019,0,1019,550000,1019,13,
1115,1804800,1116,0,1117,1804800,1118,0,1118,1804800,1118,0,1118,1804800,1118,0,1119,2400000,1119,0,1119,796016,1120,2400000,1120,0,1018,82,1018,0,1120,2400000,1120,0,1120,2515200,1121,0,1123,608000,1124,13,
1215,1804800,1216,0,1217,1804800,1218,0,1219,1804800,1221,0,1221,1804800,1221,0,1222,2400000,1222,0,1222,949311,1222,2400000,1223,0,1120,82,1120,0,1223,2400000,1223,0,1223,2515200,1224,0,1224,608000,1224,13,
1314,1804800,1314,0,1314,1804800,1315,0,1315,1804800,1315,0,1315,1804800,1315,0,1315,2400000,1315,0,1315,949311,1316,2400000,1316,0,1223,82,1223,0,1316,2400000,1316,0,1316,2515200,1316,0,1317,608000,1317,13,
1415,1804800,1415,0,1415,1804800,1416,0,1416,1804800,1416,0,1416,1804800,1416,0,1416,2400000,1417,0,1417,949311,1417,2400000,1417,0,1316,82,1316,0,1417,2400000,1417,0,1417,1766400,1417,0,1417,608000,1418,13,
1515,1804800,1515,0,1516,1804800,1516,0,1516,1804800,1516,0,1516,1804800,1518,0,1519,2400000,1522,0,1522,949311,1522,2400000,1524,0,1417,82,1417,0,1525,2400000,1526,0,1527,1766400,1528,0,1529,608000,1529,13,
1615,1804800,1616,0,1616,1804800,1616,0,1616,1804800,1616,0,1616,1804800,1617,0,1617,2400000,1617,0,1617,949311,1617,2400000,1617,0,1524,82,1525,0,1617,2400000,1617,0,1617,2515200,1618,0,1618,608000,1618,7,
1716,1804800,1717,0,1717,1804800,1718,0,1718,1804800,1718,0,1718,1804800,1722,0,1722,2400000,1724,0,1724,511167,1724,2400000,1725,0,1617,82,1617,0,1725,2400000,1725,0,1725,2515200,1726,0,1726,608000,1727,7,
1817,1804800,1817,0,1817,1804800,1817,0,1818,1804800,1818,0,1818,1804800,1818,0,1818,2400000,1818,0,1818,511167,1818,2400000,1818,0,1725,82,1725,0,1819,2400000,1819,0,1819,2515200,1819,0,1819,608000,1819,7,
1917,1804800,1917,0,1917,1804800,1917,0,1917,1804800,1918,0,1918,1804800,1918,0,1918,2400000,1918,0,1918,511167,1918,2400000,1918,0,1818,82,1818,0,1918,2400000,1919,0,1919,2035200,1919,0,1919,608000,1919,7,
2017,1804800,2018,0,2018,1804800,2018,0,2018,1804800,2018,0,2018,1804800,2019,0,2019,1651200,2019,0,2019,511167,2019,1651200,2019,0,1918,82,1918,0,2019,1651200,2020,0,2020,1766400,2020,0,2020,608000,2020,7,
2117,1804800,2118,0,2118,1804800,2118,0,2118,1804800,2119,0,2119,1804800,2119,0,2119,1651200,2119,0,2120,511167,2120,1651200,2120,0,2019,82,2019,0,2120,1651200,2120,0,2121,1766400,2121,0,2121,608000,2121,7,
2218,1804800,2219,0,2219,1804800,2219,0,2220,1804800,2220,0,2221,1804800,2221,0,2221,2400000,2222,0,2222,511167,2222,2400000,2222,0,2120,82,2120,0,2222,2131200,2222,0,2222,1862400,2222,0,2223,608000,2223,7,
2318,1804800,2318,0,2319,1804800,2319,0,2319,1804800,2319,0,2319,1804800,2320,0,2320,1651200,2320,0,2320,511167,2320,1651200,2321,0,2222,82,2222,0,2321,1651200,2321,0,2321,1766400,2322,0,2322,608000,2322,7,
2418,1804800,2418,0,2419,1804800,2419,0,2419,1804800,2419,0,2419,1804800,2419,0,2419,1900800,2420,0,2420,511167,2420,1900800,2420,0,2321,82,2321,0,2420,2400000,2420,0,2420,2515200,2420,0,2421,608000,2421,7,
2518,1804800,2519,0,2519,1804800,2519,0,2519,1804800,2520,0,2520,1804800,2520,0,2520,1651200,2521,0,2521,511167,2521,1651200,2521,0,2420,82,2420,0,2522,1651200,2522,0,2522,1766400,2522,0,2522,608000,2523,7,
2619,1804800,2619,0,2619,1804800,2619,0,2620,1804800,2620,0,2620,1804800,2620,0,2620,1651200,2620,0,2620,511167,2621,1651200,2621,0,2521,82,2521,0,2621,1651200,2621,0,2621,1766400,2621,0,2622,608000,2622,8,
2719,1804800,2719,0,2720,1804800,2720,0,2720,1804800,2720,0,2721,1804800,2721,0,2721,1651200,2721,0,2721,584191,2722,1651200,2722,0,2621,82,2621,0,2722,1651200,2722,0,2723,2515200,2723,0,2723,608000,2723,8,
2819,1804800,2820,0,2820,1804800,2820,0,2820,1804800,2820,0,2820,1804800,2821,0,2821,2054400,2821,0,2821,584191,2821,2054400,2821,0,2722,82,2722,0,2821,2054400,2821,0,2821,2380800,2822,0,2822,608000,2822,8,
2920,1804800,2920,0,2921,1804800,2921,0,2921,1804800,2921,0,2921,1804800,2921,0,2922,1651200,2922,0,2922,584191,2922,1651200,2922,0,2821,82,2821,0,2922,1651200,2922,0,2923,1766400,2923,0,2923,608000,2923,8,
3020,1804800,3020,0,3021,1804800,3021,0,3021,1804800,3021,0,3021,1804800,3021,0,3022,1651200,3022,0,3022,584191,3022,1651200,3022,0,2922,82,2922,0,3022,1651200,3022,0,3023,2208000,3023,0,3023,608000,3023,8,
3121,806400,3122,0,3123,806400,3123,0,3123,806400,3124,0,3124,806400,3124,0,3124,2400000,3125,0,3125,584191,3125,2400000,3125,0,3022,82,3022,0,3125,2400000,3125,0,3126,1324800,3126,0,3126,608000,3126,8,
3221,806400,3221,0,3222,806400,3222,0,3222,806400,3222,0,3222,806400,3223,0,3223,940800,3223,0,3223,584191,3223,940800,3224,0,3125,82,3125,0,3224,940800,3224,0,3224,1862400,3224,0,3225,608000,3225,8,
3321,806400,3322,0,3322,806400,3322,0,3322,806400,3322,0,3323,806400,3323,0,3323,1516800,3323,0,3323,584191,3323,1516800,3324,0,3224,82,3224,0,3324,1516800,3324,0,3324,2035200,3324,0,3324,608000,3325,8,
3422,806400,3423,0,3423,806400,3423,0,3423,806400,3424,0,3424,806400,3425,0,3425,1516800,3425,0,3425,584191,3426,1516800,3426,0,3324,82,3324,0,3426,1516800,3426,0,3427,806400,3427,0,3427,608000,3427,8,
3522,1152000,3522,0,3523,1152000,3523,0,3523,1152000,3523,0,3523,1152000,3523,0,3523,2400000,3523,0,3523,584191,3524,2400000,3524,0,3426,82,3426,0,3524,2400000,3524,0,3524,806400,3524,0,3524,608000,3525,8,
3623,806400,3623,0,3624,806400,3625,0,3625,806400,3626,0,3626,806400,3626,0,3626,1228800,3627,0,3627,584191,3627,1344000,3628,0,3524,82,3524,0,3628,1516800,3628,0,3628,1766400,3628,0,3629,608000,3629,9,
3723,1152000,3724,0,3724,806400,3725,0,3725,806400,3726,0,3726,806400,3726,0,3726,691200,3727,0,3727,657215,3727,691200,3727,0,3628,82,3628,0,3728,691200,3728,0,3728,806400,3729,0,3729,608000,3730,9,
3823,940800,3824,0,3824,940800,3824,0,3824,940800,3825,0,3825,940800,3825,0,3825,2400000,3825,0,3825,657215,3825,1900800,3826,0,3727,82,3727,0,3826,1900800,3826,0,3826,2515200,3826,0,3826,608000,3827,9,
